smiles_aromatic,smiles_kekulized,nb_atoms,sw_filter_chembl,sw_filter_zinc,nb_unknown_gcf_chembl,nb_unknown_ecfp_chembl,nb_unknown_gcf_chembl_zinc,nb_unknown_ecfp_chembl_zinc
CSc1ccc(NC(C)=N)cc1,CSC1=CC=C(NC(C)=N)C=C1,12,1.0,1.0,0,0,0,0
CC(=N)NC(C)c1ccccc1,CC(=N)NC(C)C1=CC=CC=C1,12,1.0,1.0,0,0,0,0
NC1COC1=O,NC1COC1=O,6,1.0,1.0,0,0,0,0
NCC(O)c1cccc(O)c1O,NCC(O)C1=CC=CC(O)=C1O,12,1.0,1.0,0,0,0,0
NCCC(N)=O,NCCC(N)=O,6,1.0,1.0,0,0,0,0
O=S(=O)(O)SSSSS(=O)(=O)O,O=S(=O)(O)SSSSS(=O)(=O)O,12,1.0,1.0,0,0,0,0
CC1CC(=O)C2(CCNCC2)O1,CC1CC(=O)C2(CCNCC2)O1,12,1.0,1.0,0,0,0,0
COC(=O)C1=CCNCC1,COC(=O)C1=CCNCC1,10,1.0,1.0,0,0,0,0
CC(C)Nc1cnccc1CN,CC(C)NC1=CN=CC=C1CN,12,1.0,1.0,0,0,0,0
SSS,SSS,3,1.0,1.0,0,0,0,0
Cc1ncc(CCN(C)C)[nH]1,CC1=NC=C(CCN(C)C)N1,11,1.0,1.0,0,0,0,0
NC1(C(=O)O)CCCC1F,NC1(C(=O)O)CCCC1F,10,1.0,1.0,0,0,0,0
NC(CNCC(=O)O)=NO,NC(CNCC(=O)O)=NO,10,1.0,1.0,0,0,0,0
NCCNCc1nnn[nH]1,NCCNCC1=NN=NN1,10,1.0,1.0,0,0,0,0
NCc1cc(F)cc(F)c1,NCC1=CC(F)=CC(F)=C1,10,1.0,1.0,0,0,0,0
C#CC(C)(C)O,C#CC(C)(C)O,6,1.0,1.0,0,0,0,0
Cc1cc(=O)nc(C(C)C)[nH]1,CC1=CC(=O)N=C(C(C)C)N1,11,1.0,1.0,0,0,0,0
COc1cccc(CON)c1,COC1=CC=CC(CON)=C1,11,1.0,1.0,0,0,0,0
CCc1ccc(CC)cc1,CCC1=CC=C(CC)C=C1,10,1.0,1.0,0,0,0,0
S=C(S)NCCN1CCOCC1,S=C(S)NCCN1CCOCC1,12,1.0,1.0,0,0,0,0
Cc1[nH]cnc1CSCCN,CC1=C(CSCCN)N=CN1,11,1.0,1.0,0,0,0,0
O=S(O)CO,O=S(O)CO,5,1.0,1.0,0,0,0,0
Cn1cc(C(N)=O)ccc1=O,CN1C=C(C(N)=O)C=CC1=O,11,1.0,1.0,0,0,0,0
CCCC(CC(C)O)C(=O)O,CCCC(CC(C)O)C(=O)O,11,1.0,1.0,0,0,0,0
CC(CN)C(=O)O,CC(CN)C(=O)O,7,1.0,1.0,0,0,0,0
COC(=S)S,COC(=S)S,5,1.0,1.0,0,0,0,0
CCOc1ccc(N)cc1OC,CCOC1=CC=C(N)C=C1OC,12,1.0,1.0,0,0,0,0
CC(C)c1ccccc1C(C)C,CC(C)C1=CC=CC=C1C(C)C,12,1.0,1.0,0,0,0,0
ON=Nc1cnccn1,ON=NC1=CN=CC=N1,9,1.0,1.0,0,0,0,0
NNC1=NCC(O)CN1,NNC1=NCC(O)CN1,9,1.0,1.0,0,0,0,0
CC1(C)C(N)C1(C)C,CC1(C)C(N)C1(C)C,8,1.0,1.0,0,0,0,0
NCC1CC1c1ccccc1O,NCC1CC1C1=CC=CC=C1O,12,1.0,1.0,0,0,0,0
CC1=CCC(C(C)C)C=C1,CC1=CCC(C(C)C)C=C1,10,1.0,1.0,0,0,0,0
c1ccc2c(c1)CN1CCN=C21,C1=CC=C2C(=C1)CN1CCN=C21,12,1.0,1.0,0,0,0,0
CCC=CCCC=CCO,CCC=CCCC=CCO,10,1.0,1.0,0,0,0,0
CCCCCOC(=S)S,CCCCCOC(=S)S,9,1.0,1.0,0,0,0,0
O=C1NC(=O)C2CC=CCC12,O=C1NC(=O)C2CC=CCC12,11,1.0,1.0,0,0,0,0
O=C1CCCN1C1CCCCC1,O=C1CCCN1C1CCCCC1,12,1.0,1.0,0,0,0,0
C=C(CNN)c1ccc(F)cc1,C=C(CNN)C1=CC=C(F)C=C1,12,1.0,1.0,0,0,0,0
